1.159545422442814555e+00,4.991715585691584023e-01
1.387218623218707592e+00,4.713230949303801043e-01
1.879367705807720057e+00,3.685553691429538370e-01
2.150077581854938913e+00,2.393214169883616793e-01
2.884041936608159773e+00,1.507736517582009550e-01
4.010015043965842629e+00,5.412634887549024748e-02
4.229000702422081481e+00,3.138635962835465299e-03
4.093423449750720700e+00,-7.674720421855969754e-02
4.121086776422177245e+00,4.980563424449956367e-01
4.047856996179597822e+00,1.190077766265970727e+00
4.017845812300647523e+00,1.555785579960222709e+00
4.029613617665676273e+00,1.867318170681571132e+00
3.949291071293410393e+00,2.786872025524931296e+00
3.929011752813066138e+00,3.297661811943826571e+00
3.952709855433512942e+00,3.614735975455335204e+00
3.996018532406940604e+00,3.812012228863000729e+00
3.991141689443138407e+00,4.015337407162230754e+00
4.018416711688345799e+00,3.953292674281919883e+00
3.505701094765390380e+00,3.947236112759982429e+00
3.098116937092532552e+00,3.894575320473752100e+00
2.560867105040727232e+00,3.931727859243558942e+00
2.141599287692548259e+00,3.895714823654885084e+00
1.517149680145253310e+00,4.012941356171703333e+00
1.244055739972415475e+00,4.048475155838363371e+00
9.387164284145669280e-01,4.078577866527329121e+00
4.220149604768727580e-01,4.029515024456876482e+00
1.120928566757190131e-01,3.977027112102977213e+00
-5.863015049099824794e-02,3.993568070168345585e+00
3.052378877969921279e-03,3.951779092513513003e+00
1.363909722172369429e-02,3.774136817606916772e+00
-3.887670091703058356e-02,3.539283489345861788e+00
-1.500752774109484836e-02,3.138415036625855858e+00
-7.759283707992241721e-03,2.902148492215428366e+00
-5.594599517485638468e-02,2.750916947238734700e+00
3.349300790930725275e-02,1.839668098793450834e+00
1.180076804325038420e-01,1.085541111825805594e+00
3.785534088749305942e-02,3.582209827651741119e-01
